,Id,LotFrontage,LotArea,MasVnrArea,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,SalePrice,GarageType_1,GarageType_2,GarageType_3,GarageType_4,GarageType_5
63,64,50.0,10300,0.0,902,808,1710,480,140000,0,0,0,0,1
65,66,76.0,9591,344.0,1143,1330,2473,852,317000,0,0,1,0,0
67,68,72.0,10665,167.0,1479,0,1479,558,226000,1,0,0,0,0
68,69,47.0,4608,0.0,747,0,747,220,80000,1,0,0,0,0
69,70,81.0,15593,0.0,1304,983,2287,667,225000,1,0,0,0,0
71,72,69.0,7599,0.0,845,0,845,360,129500,0,0,0,0,1
72,73,74.0,10141,40.0,885,833,1718,427,185000,1,0,0,0,0
73,74,85.0,10200,104.0,1086,0,1086,490,144900,1,0,0,0,0
74,75,60.0,5790,0.0,840,765,1605,379,107400,0,0,0,0,1
77,78,50.0,8635,0.0,1072,213,1285,240,127000,0,0,0,0,1
78,79,72.0,10778,0.0,1768,0,1768,0,136500,1,0,0,0,0
79,80,60.0,10440,0.0,682,548,1230,440,110000,0,0,0,0,1
83,84,80.0,8892,66.0,1065,0,1065,461,126500,0,0,0,0,1
87,88,40.0,3951,76.0,612,612,1224,528,164500,0,0,0,0,1
88,89,105.0,8470,0.0,1013,0,1526,0,85000,1,0,0,0,0
89,90,60.0,8070,0.0,990,0,990,0,123600,1,0,0,0,0
90,91,60.0,7200,0.0,1040,0,1040,420,109900,0,0,0,0,1
91,92,85.0,8500,203.0,1235,0,1235,480,98600,1,0,0,0,0
92,93,80.0,13360,0.0,964,0,964,432,163500,0,0,0,0,1
93,94,60.0,7200,0.0,1260,1031,2291,506,133900,0,0,0,0,1
94,95,69.0,9337,0.0,905,881,1786,684,204750,1,0,0,0,0
96,97,78.0,10264,183.0,1588,0,1588,472,214000,1,0,0,0,0
97,98,73.0,10921,48.0,960,0,960,432,94750,1,0,0,0,0
98,99,85.0,10625,0.0,835,0,835,366,83000,0,1,0,0,0
99,100,77.0,9320,0.0,1225,0,1225,0,128950,1,0,0,0,0
101,102,77.0,9206,336.0,977,755,1732,476,178000,1,0,0,0,0
102,103,64.0,7018,0.0,1535,0,1535,410,118964,1,0,0,0,0
103,104,94.0,10402,0.0,1226,0,1226,740,198900,1,0,0,0,0
106,107,60.0,10800,0.0,1047,0,1047,273,100000,0,0,0,0,1
107,108,50.0,6000,0.0,789,0,789,250,115000,0,0,0,0,1
108,109,85.0,8500,0.0,997,520,1517,0,115000,1,0,0,0,0
110,111,75.0,9525,0.0,1216,639,1855,325,136900,1,0,0,0,0
114,115,61.0,7259,0.0,1436,884,2320,180,259500,0,0,0,0,1
117,118,74.0,8536,0.0,1125,0,1125,430,155000,1,0,0,0,0
119,120,65.0,8461,0.0,728,728,1456,390,163990,1,0,0,0,0
121,122,50.0,6060,0.0,772,351,1123,264,100000,0,0,0,0,1
122,123,75.0,9464,135.0,1080,0,1080,288,136000,1,0,0,0,0
123,124,55.0,7892,0.0,1199,0,1199,530,153900,1,0,0,0,0
125,126,60.0,6780,0.0,520,0,754,0,84500,1,0,0,0,0
127,128,55.0,4388,0.0,840,0,840,0,87000,1,0,0,0,0
128,129,69.0,7590,266.0,660,688,1348,453,155000,1,0,0,0,0
129,130,69.0,8973,85.0,1053,0,1053,750,150000,0,0,0,0,0
130,131,88.0,14200,309.0,1216,941,2157,487,226000,1,0,0,0,0
132,133,75.0,7388,0.0,1327,0,1327,624,150750,0,0,0,0,1
134,135,78.0,10335,0.0,1721,0,1721,440,180000,1,0,0,0,0
135,136,80.0,10400,288.0,1682,0,1682,530,174000,1,0,0,0,0
137,138,82.0,11070,70.0,1959,0,1959,766,171000,0,0,0,0,0
138,139,73.0,9066,320.0,1004,848,1852,660,230000,1,0,0,0,0
139,140,65.0,15426,0.0,928,836,1764,470,231500,1,0,0,0,0
140,141,70.0,10500,0.0,864,0,864,0,115000,1,0,0,0,0
141,142,78.0,11645,0.0,1734,0,1734,660,260000,1,0,0,0,0
142,143,71.0,8520,0.0,910,475,1385,720,166000,0,0,0,0,1
143,144,78.0,10335,183.0,1501,0,1501,577,204000,1,0,0,0,0
144,145,70.0,9100,336.0,1728,0,1728,504,125000,0,0,0,0,1
146,147,51.0,6120,0.0,875,0,875,180,105000,0,0,0,0,1
148,149,63.0,7500,120.0,1080,0,1080,0,141000,1,0,0,0,0
154,155,84.0,11340,0.0,1200,0,1200,312,125000,0,0,0,0,1
155,156,60.0,9600,0.0,572,524,1096,0,79000,1,0,0,0,0
156,157,60.0,7200,0.0,1040,0,1040,625,109500,0,0,0,0,1
157,158,92.0,12003,84.0,774,1194,1968,680,269500,0,0,1,0,0
158,159,100.0,12552,0.0,991,956,1947,678,254900,1,0,0,0,0
162,163,95.0,12182,226.0,1541,0,1541,532,220000,1,0,0,0,0
163,164,55.0,5500,0.0,882,0,882,0,103200,1,0,0,0,0
164,165,40.0,5400,0.0,1149,467,1616,216,152000,0,0,0,0,1
165,166,62.0,10106,0.0,808,547,1355,0,127500,1,0,0,0,0
167,168,86.0,10562,300.0,1610,551,2161,789,325624,1,0,0,0,0
168,169,62.0,8244,0.0,840,880,1720,440,183500,1,0,0,0,0
172,173,44.0,5306,0.0,1064,703,1767,504,239000,1,0,0,0,0
174,175,47.0,12416,132.0,1651,0,1651,616,184000,1,0,0,0,0
176,177,97.0,10029,268.0,1164,896,2060,521,211000,1,0,0,0,0
179,180,60.0,8520,0.0,968,0,968,480,100000,0,0,0,0,1
181,182,54.0,7588,0.0,901,901,1802,216,200100,0,0,0,0,1
182,183,60.0,9060,98.0,1340,0,1340,252,120000,1,0,0,0,0
183,184,63.0,11426,0.0,1362,720,2082,484,200000,0,0,0,0,1
184,185,92.0,7438,0.0,936,316,1252,576,127000,1,0,0,0,0
187,188,60.0,10410,0.0,808,704,1656,180,135000,0,0,0,0,1
188,189,64.0,7018,275.0,1224,0,1224,528,153337,0,0,0,0,1
189,190,41.0,4923,0.0,1593,0,1593,682,286000,1,0,0,0,0
192,193,68.0,9017,0.0,1431,0,1431,666,192000,1,0,0,0,0
194,195,60.0,7180,0.0,864,0,864,352,127000,0,0,0,0,1
196,197,79.0,9416,205.0,1726,0,1726,786,311872,1,0,0,0,0
198,199,92.0,5520,0.0,929,929,2229,0,104000,1,0,0,0,0
199,200,76.0,9591,262.0,1713,0,1713,856,274900,1,0,0,0,0
200,201,80.0,8546,0.0,1121,0,1121,440,140000,1,0,0,0,0
201,202,75.0,10125,0.0,1279,0,1279,473,171500,0,0,0,0,1
202,203,50.0,7000,0.0,865,445,1310,398,112000,1,0,0,0,0
204,205,50.0,3500,0.0,720,564,1284,240,110000,0,0,0,0,1
205,206,99.0,11851,0.0,1442,0,1442,500,180500,1,0,0,0,0
206,207,40.0,13673,0.0,1696,0,1696,349,143900,1,0,0,0,0
209,210,75.0,8250,260.0,1092,0,1092,504,145000,1,0,0,0,0
210,211,67.0,5604,0.0,864,0,864,0,98000,1,0,0,0,0
211,212,83.0,10420,0.0,1212,0,1212,460,186000,1,0,0,0,0
212,213,72.0,8640,0.0,932,920,1852,644,252678,1,0,0,0,0
213,214,43.0,13568,0.0,990,0,990,576,156000,1,0,0,0,0
215,216,72.0,10011,64.0,1236,0,1236,447,134450,1,0,0,0,0
216,217,65.0,8450,266.0,1436,0,1436,484,210000,1,0,0,0,0
217,218,57.0,9906,0.0,810,518,1328,210,107000,0,0,0,0,1
219,220,43.0,3010,16.0,1248,0,1248,438,167240,1,0,0,0,0
220,221,73.0,8990,0.0,1498,0,1498,675,204900,1,0,0,0,0
222,223,85.0,11475,0.0,811,741,1552,434,179900,1,0,0,0,0
223,224,70.0,10500,0.0,864,0,864,576,97000,0,0,0,0,1
226,227,82.0,9950,290.0,1214,1306,2520,721,290000,1,0,0,0,0
228,229,70.0,8521,0.0,912,0,912,336,125000,0,0,0,0,1
229,230,43.0,3182,16.0,1555,0,1555,430,192500,1,0,0,0,0
230,231,73.0,8760,220.0,1194,0,1194,312,148000,1,0,0,0,0
233,234,75.0,10650,0.0,894,0,894,308,128200,1,0,0,0,0
236,237,65.0,8773,98.0,1414,0,1414,494,185500,1,0,0,0,0
238,239,93.0,12030,254.0,1694,0,1694,818,318000,1,0,0,0,0
239,240,52.0,8741,0.0,798,689,1487,220,113000,0,0,0,0,1
240,241,75.0,9000,36.0,1566,0,1566,750,262500,1,0,0,0,0
241,242,40.0,3880,0.0,866,0,866,0,110500,1,0,0,0,0
242,243,63.0,5000,0.0,889,551,1440,352,79000,1,0,0,0,0
243,244,75.0,10762,0.0,626,591,1217,288,120000,1,0,0,0,0
245,246,80.0,10400,102.0,1872,0,1872,604,241500,1,0,0,0,0
246,247,69.0,9142,0.0,908,1020,1928,440,137000,0,0,0,0,1
247,248,75.0,11310,0.0,1375,0,1375,451,140000,1,0,0,0,0
248,249,72.0,11317,101.0,840,828,1668,500,180000,1,0,0,0,0
250,251,55.0,5350,0.0,1306,0,1306,0,76500,1,0,0,0,0
252,253,65.0,8366,0.0,798,842,1640,520,173000,1,0,0,0,0
253,254,85.0,9350,108.0,1302,0,1302,309,158000,1,0,0,0,0
254,255,70.0,8400,0.0,1314,0,1314,294,145000,1,0,0,0,0
255,256,66.0,8738,302.0,1005,1286,2291,429,230000,0,0,1,0,0
256,257,64.0,8791,0.0,864,864,1728,673,207500,1,0,0,0,0
257,258,68.0,8814,180.0,1604,0,1604,660,220000,1,0,0,0,0
258,259,80.0,12435,172.0,963,829,1792,564,231500,1,0,0,0,0
259,260,70.0,12702,0.0,882,0,882,308,97000,0,0,0,0,1
261,262,69.0,9588,270.0,1482,1092,2574,868,276000,0,0,1,0,0
262,263,88.0,8471,46.0,1212,0,1212,492,151000,1,0,0,0,0
263,264,50.0,5500,0.0,926,0,1316,484,130000,0,0,0,0,1
264,265,30.0,5232,0.0,764,0,764,504,73000,0,0,0,0,1
265,266,78.0,12090,210.0,1422,0,1422,576,175500,1,0,0,0,0
266,267,70.0,11207,0.0,802,709,1511,413,185000,1,0,0,0,0
267,268,60.0,8400,0.0,1052,720,2192,240,179500,0,0,0,0,1
268,269,71.0,6900,0.0,778,0,778,924,120500,0,0,0,0,1
272,273,92.0,11764,348.0,1164,1106,2270,671,290000,1,0,0,0,0
273,274,80.0,9600,183.0,1632,0,1632,338,139000,1,0,0,0,0
274,275,76.0,8314,0.0,816,0,816,264,124500,1,0,0,0,0
275,276,55.0,7264,0.0,952,596,1548,672,205000,0,0,0,0,1
279,280,83.0,10005,299.0,1156,866,2022,505,192000,1,0,0,0,0
280,281,82.0,11287,340.0,1175,807,1982,575,228500,1,0,0,0,0
281,282,60.0,7200,68.0,1262,0,1262,572,185000,1,0,0,0,0
282,283,34.0,5063,166.0,1314,0,1314,626,207500,1,0,0,0,0
283,284,74.0,9612,72.0,1468,0,1468,898,244600,1,0,0,0,0
284,285,50.0,8012,0.0,1575,0,1575,529,179200,1,0,0,0,0
285,286,35.0,4251,0.0,625,625,1250,528,164700,0,0,0,0,1
286,287,77.0,9786,0.0,1085,649,1734,440,159000,1,0,0,0,0
289,290,60.0,8730,0.0,698,698,1396,384,153575,0,0,0,0,1
291,292,55.0,5687,0.0,936,780,1716,0,135900,1,0,0,0,0
292,293,60.0,11409,0.0,1148,568,1716,281,131000,1,0,0,0,0
294,295,80.0,9600,238.0,1644,0,1644,418,167000,1,0,0,0,0
295,296,37.0,7937,0.0,1003,0,1003,588,142500,0,0,0,0,1
296,297,75.0,13710,0.0,910,648,1558,282,152000,1,0,0,0,0
298,299,90.0,11700,365.0,1041,702,1743,539,175000,1,0,0,0,0
299,300,80.0,14000,0.0,1152,0,1152,300,158500,1,0,0,0,0
300,301,90.0,15750,56.0,1336,0,1336,375,157000,1,0,0,0,0
301,302,66.0,16226,0.0,1210,1242,2452,683,267000,0,0,1,0,0
303,304,70.0,9800,0.0,894,0,894,552,149900,1,0,0,0,0
305,306,80.0,10386,246.0,2000,0,2000,888,305900,1,0,0,0,0
309,310,90.0,12378,0.0,1944,0,1944,708,360000,1,0,0,0,0
311,312,50.0,8000,0.0,972,0,972,240,132000,0,0,0,0,1
312,313,65.0,7800,0.0,793,325,1118,410,119900,0,0,0,0,1
314,315,60.0,9600,0.0,832,809,1641,546,178000,0,0,0,0,1
315,316,71.0,7795,0.0,716,716,1432,432,188500,1,0,0,0,0
316,317,94.0,13005,278.0,1153,1200,2353,484,260000,1,0,0,0,0
320,321,111.0,16259,370.0,1249,1347,2596,840,342643,1,0,0,0,0
321,322,99.0,12099,388.0,1136,1332,2468,872,354000,0,0,1,0,0
323,324,49.0,5820,0.0,1163,0,1163,220,126175,1,0,0,0,0
325,326,50.0,5000,0.0,803,0,803,360,87000,0,0,0,0,1
326,327,32.0,10846,0.0,1719,0,1719,473,324000,1,0,0,0,0
327,328,80.0,11600,175.0,1383,0,1383,292,145250,1,0,0,0,0
329,330,60.0,6402,0.0,596,596,1192,189,78000,0,0,0,0,1
331,332,70.0,8176,0.0,1056,0,1056,308,139000,1,0,0,0,0
332,333,85.0,10655,296.0,1629,0,1629,880,284000,1,0,0,0,0
333,334,59.0,8198,146.0,1358,0,1358,484,207000,1,0,0,0,0
334,335,59.0,9042,0.0,943,695,1638,472,192000,1,0,0,0,0
336,337,86.0,14157,200.0,1922,0,1922,676,377426,1,0,0,0,0
337,338,70.0,9135,113.0,1536,0,1536,532,214000,1,0,0,0,0
338,339,91.0,14145,0.0,1621,0,1621,440,202500,1,0,0,0,0
339,340,66.0,12400,176.0,1215,0,1215,297,155000,1,0,0,0,0
340,341,85.0,14191,0.0,993,915,1908,431,202900,1,0,0,0,0
341,342,60.0,8400,0.0,841,0,841,294,82000,0,0,0,1,0
344,345,36.0,2592,0.0,536,576,1112,336,85000,1,0,0,0,0
345,346,65.0,6435,0.0,972,605,1577,312,140200,0,0,0,0,1
348,349,36.0,2448,106.0,764,862,1626,474,154000,0,0,1,0,0
350,351,68.0,7820,362.0,1869,0,1869,617,318061,1,0,0,0,0
352,353,60.0,9084,0.0,616,495,1111,200,95000,0,0,0,0,1
353,354,60.0,8520,0.0,720,0,720,484,105900,0,0,0,0,1
354,355,60.0,8400,0.0,1192,403,1595,240,140000,1,0,0,0,0
355,356,105.0,11249,0.0,1200,0,1200,521,177500,1,0,0,0,0
357,358,44.0,4224,0.0,1142,0,1142,528,134000,1,0,0,0,0
358,359,92.0,6930,120.0,1352,0,1352,288,130000,0,0,1,0,0
365,366,59.0,10690,0.0,672,672,1344,468,147000,0,0,0,0,1
367,368,101.0,9150,305.0,1431,0,1431,296,165000,0,1,0,0,0
368,369,78.0,7800,200.0,1268,0,1268,244,132000,1,0,0,0,0
372,373,50.0,7175,0.0,752,0,752,264,125000,1,0,0,0,0
373,374,79.0,10634,0.0,1319,0,1319,270,123000,1,0,0,0,0
374,375,65.0,8200,0.0,847,1081,1928,434,219500,0,0,1,0,0
376,377,57.0,8846,0.0,914,0,914,576,148000,0,0,0,0,1
377,378,102.0,11143,0.0,1580,886,2466,610,340000,1,0,0,0,0
378,379,88.0,11394,350.0,1856,0,1856,834,394432,1,0,0,0,0
379,380,60.0,8123,16.0,1007,793,1800,463,179000,1,0,0,0,0
380,381,50.0,5000,0.0,1026,665,1691,308,127000,0,0,0,0,1
381,382,60.0,7200,0.0,1301,0,1301,572,187750,1,0,0,0,0
382,383,79.0,9245,0.0,939,858,1797,639,213500,1,0,0,0,0
383,384,60.0,9000,0.0,784,0,784,360,76000,0,0,0,0,1
385,386,43.0,3182,16.0,1269,0,1269,430,192000,1,0,0,0,0
386,387,58.0,8410,0.0,658,526,1184,0,81000,1,0,0,0,0
387,388,72.0,7200,255.0,1125,0,1125,352,125000,0,0,0,0,1
388,389,93.0,9382,125.0,1479,0,1479,577,191000,1,0,0,0,0
389,390,96.0,12474,272.0,1742,590,2332,846,426000,0,0,1,0,0
390,391,50.0,8405,0.0,961,406,1367,384,119000,0,0,0,0,1
391,392,71.0,12209,0.0,804,1157,1961,560,215000,0,0,1,0,0
394,395,60.0,10134,0.0,735,299,1034,240,109000,0,0,0,0,1
395,396,68.0,9571,0.0,1144,0,1144,596,129000,1,0,0,0,0
396,397,60.0,7200,0.0,894,0,894,600,123000,0,0,0,0,1
397,398,69.0,7590,288.0,876,936,1812,264,169500,1,0,0,0,0
398,399,60.0,8967,0.0,1077,0,1077,338,67000,0,0,0,0,1
399,400,65.0,8125,100.0,1112,438,1550,438,241000,1,0,0,0,0
400,401,38.0,14963,0.0,1288,0,1288,500,245500,1,0,0,0,0
401,402,65.0,8767,0.0,1310,0,1310,400,164990,1,0,0,0,0
402,403,60.0,10200,0.0,672,0,672,240,108000,0,0,0,0,1
406,407,51.0,10480,0.0,1166,0,1639,240,115000,0,0,0,0,1
407,408,63.0,15576,0.0,840,840,1680,308,177000,1,0,0,0,0
408,409,109.0,14154,350.0,1071,1101,2172,947,280000,1,0,0,0,0
409,410,85.0,10800,100.0,1050,1028,2078,836,339750,1,0,0,0,0
410,411,68.0,9571,0.0,1276,0,1276,350,60000,1,0,0,0,0
413,414,56.0,8960,0.0,1028,0,1028,360,115000,0,0,0,0,1
414,415,59.0,11228,0.0,1080,1017,2097,678,228000,1,0,0,0,0
415,416,73.0,8899,0.0,1340,0,1340,396,181134,1,0,0,0,0
416,417,74.0,7844,203.0,672,728,1400,440,149500,1,0,0,0,0
418,419,60.0,8160,0.0,756,378,1134,240,126000,0,0,0,0,1
419,420,65.0,8450,0.0,1056,0,1056,304,142000,1,0,0,0,0
420,421,78.0,7060,200.0,1344,0,1344,784,206300,1,0,0,0,0
424,425,72.0,9000,74.0,1196,0,1196,297,139000,1,0,0,0,0
425,426,60.0,3378,0.0,707,682,1389,240,135000,0,0,0,0,1
427,428,77.0,8593,0.0,907,0,907,352,109008,0,0,0,0,1
428,429,64.0,6762,108.0,1208,0,1208,628,195400,1,0,0,0,0
431,432,60.0,5586,0.0,1088,110,1198,0,79900,1,0,0,0,0
433,434,100.0,10839,0.0,926,678,1604,470,181000,1,0,0,0,0
435,436,43.0,10667,0.0,827,834,1661,550,212000,1,0,0,0,0
436,437,40.0,4400,0.0,734,384,1118,440,116000,0,0,0,0,1
437,438,50.0,6000,0.0,904,0,904,180,119000,0,0,0,0,1
438,439,40.0,4280,0.0,694,0,694,352,90350,0,0,0,0,1
439,440,67.0,12354,0.0,684,512,1196,528,110000,0,0,0,0,1
441,442,92.0,12108,270.0,1440,0,1440,0,118000,1,0,0,0,0
442,443,52.0,6240,0.0,1128,445,1573,360,162900,0,0,0,0,1
443,444,53.0,3922,72.0,1258,0,1258,648,172500,1,0,0,0,0
444,445,70.0,8750,0.0,933,975,1908,493,210000,1,0,0,0,0
445,446,73.0,9855,0.0,1689,0,1689,480,127500,1,0,0,0,0
448,449,50.0,8600,0.0,780,596,1376,198,119500,0,0,0,0,1
449,450,50.0,6000,0.0,679,504,1183,308,120000,0,0,0,0,1
450,451,70.0,5684,0.0,813,0,813,270,110000,0,0,0,0,1
453,454,75.0,9000,0.0,786,804,1590,676,210000,1,0,0,0,0
454,455,63.0,9297,0.0,1728,0,1728,560,188000,0,0,0,0,1
455,456,80.0,9600,320.0,1242,0,1242,528,175500,1,0,0,0,0
456,457,34.0,4571,0.0,624,720,1344,513,98000,0,0,0,0,1
460,461,75.0,8004,110.0,832,1103,1935,552,263435,0,0,1,0,0
461,462,60.0,7200,0.0,575,560,1135,576,155000,0,0,0,0,1
462,463,60.0,8281,0.0,864,0,864,360,62383,0,0,0,0,1
463,464,74.0,11988,0.0,849,811,1660,240,188700,0,0,0,0,1
464,465,60.0,8430,136.0,1040,0,1040,0,124000,1,0,0,0,0
466,467,85.0,10628,0.0,1277,0,1277,526,167000,1,0,0,0,0
467,468,79.0,9480,224.0,888,756,1644,312,146500,1,0,0,0,0
468,469,98.0,11428,248.0,1634,0,1634,866,250000,1,0,0,0,0
469,470,76.0,9291,120.0,832,878,1710,506,187000,1,0,0,0,0
471,472,92.0,11952,0.0,1161,808,1969,534,190000,1,0,0,0,0
472,473,35.0,3675,80.0,1072,0,1072,525,148000,0,1,0,0,0
473,474,110.0,14977,304.0,1976,0,1976,908,440000,1,0,0,0,0
474,475,41.0,5330,0.0,1652,0,1652,499,251000,1,0,0,0,0
475,476,80.0,8480,0.0,970,0,970,624,132500,0,0,0,0,1
476,477,75.0,13125,215.0,1493,0,1493,508,208900,1,0,0,0,0
478,479,79.0,10637,336.0,1718,0,1718,826,297000,1,0,0,0,0
480,481,98.0,16033,378.0,1850,0,1850,772,326000,1,0,0,0,0
482,483,50.0,2500,0.0,916,910,1826,164,155000,1,0,0,0,0
483,484,32.0,4500,116.0,1216,0,1216,402,164000,1,0,0,0,0
485,486,80.0,9600,0.0,1113,0,1113,264,147000,1,0,0,0,0
486,487,79.0,10289,168.0,1073,0,1073,515,156000,1,0,0,0,0
487,488,70.0,12243,0.0,1484,0,1484,487,175000,1,0,0,0,0
488,489,60.0,10800,0.0,1766,648,2414,520,160000,1,0,0,0,0
491,492,79.0,9490,0.0,958,620,1578,240,133000,1,0,0,0,0
492,493,105.0,15578,0.0,728,728,1456,429,172785,1,0,0,0,0
493,494,70.0,7931,0.0,1269,0,1269,308,155000,0,0,0,0,1
494,495,50.0,5784,0.0,886,0,886,273,91300,1,0,0,0,0
495,496,60.0,7879,0.0,720,0,720,0,34900,1,0,0,0,0
497,498,60.0,9120,0.0,1133,687,1820,240,184000,0,0,0,0,1
498,499,65.0,7800,89.0,899,0,899,288,130000,1,0,0,0,0
499,500,70.0,7535,0.0,912,0,912,297,120000,1,0,0,0,0
501,502,75.0,9803,0.0,866,902,1768,603,226700,1,0,0,0,0
502,503,70.0,9170,0.0,1214,0,1214,461,140000,0,0,0,0,1
503,504,100.0,15602,0.0,1801,0,1801,484,289000,1,0,0,0,0
505,506,60.0,7596,360.0,960,1000,1960,400,124500,0,0,0,0,1
506,507,80.0,9554,125.0,1065,846,1911,471,215000,1,0,0,0,0
507,508,75.0,7862,0.0,1218,0,1218,676,208300,1,0,0,0,0
508,509,60.0,9600,0.0,689,689,1378,360,161000,0,0,0,0,1
509,510,80.0,9600,132.0,1041,0,1041,270,124500,1,0,0,0,0
510,511,75.0,14559,70.0,1363,0,1363,288,164900,0,0,0,1,0
511,512,40.0,6792,94.0,1368,0,1368,474,202665,1,0,0,0,0
512,513,70.0,9100,0.0,864,0,864,624,129900,0,0,0,0,1
513,514,71.0,9187,0.0,1080,0,1080,484,134000,1,0,0,0,0
514,515,55.0,10594,0.0,789,0,789,200,96500,0,0,0,0,1
515,516,94.0,12220,305.0,2020,0,2020,900,402861,1,0,0,0,0
519,520,53.0,10918,0.0,1276,804,2080,282,234000,0,0,0,0,1
520,521,60.0,10800,0.0,694,600,1294,0,106250,1,0,0,0,0
521,522,90.0,11988,0.0,1244,0,1244,336,150000,1,0,0,0,0
522,523,50.0,5000,0.0,1004,660,1664,420,159000,0,0,0,0,1
525,526,62.0,7500,0.0,1266,0,1266,453,176000,1,0,0,0,0
526,527,70.0,13300,0.0,928,0,928,252,132000,1,0,0,0,0
528,529,58.0,9098,0.0,605,0,605,0,86000,1,0,0,0,0
530,531,85.0,10200,219.0,1509,0,1509,600,175000,1,0,0,0,0
531,532,60.0,6155,0.0,751,611,1362,502,128000,0,0,0,0,1
532,533,60.0,7200,0.0,827,0,827,392,107500,0,0,0,0,1
533,534,50.0,5000,0.0,334,0,334,0,39300,1,0,0,0,0
534,535,74.0,9056,0.0,707,707,1414,403,178000,1,0,0,0,0
535,536,70.0,7000,0.0,820,527,1347,0,107500,1,0,0,0,0
536,537,57.0,8924,0.0,880,844,1724,527,188000,1,0,0,0,0
542,543,78.0,10140,0.0,1680,0,1680,583,213250,1,0,0,0,0
543,544,34.0,4058,182.0,767,0,767,367,133000,1,0,0,0,0
546,547,70.0,8737,0.0,915,720,1635,440,210000,0,0,0,0,1
547,548,54.0,7244,0.0,768,0,768,624,129500,0,0,0,0,1
548,549,49.0,8235,0.0,825,0,825,720,125000,0,0,0,0,1
549,550,75.0,9375,0.0,912,1182,2094,615,263000,0,0,1,0,0
550,551,53.0,4043,0.0,1069,0,1069,440,140000,1,0,0,0,0
